id,latin,family,category,origin,climate,common,tempmax_celsius,tempmax_fahrenheit,tempmin_celsius,tempmin_fahrenheit,ideallight,toleratedlight,watering,insects,diseases,use
109,Ficus maclellandii Alii,Moraceae,Ficus,Cultivar,Tropical,Willow Ficus,30,20.0,10,50.0,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Scale,N/A,Potted plant; Primary
110,Guzmania,Bromeliaceae,Bromeliad,Cultivar,Tropical,Guzmania; Marjan,30,20.0,10,50.0,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,N/A,N/A,Table top; Tertiary
111,Ficus benjamina,Moraceae,Ficus,Cultivar,Tropical,Weeping fig; Midnight,30,20.0,10,50.0,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Scale,N/A,Potted plant; Secondary
112,Guzmania,Bromeliaceae,Bromeliad,Cultivar,Tropical,Guzmania; Rana,30,20.0,10,50.0,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,N/A,N/A,Table top; Tertiary
113,Ficus elastica,Moraceae,Ficus,Cultivar,Tropical,Rubber plant; Burgandy,30,20.0,10,50.0,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Can dry between watering,Mealy bug; Scale,N/A,Potted plant; Secondary
114,Euphorbia drupifera,Euphorbiaceae,Cactus And Succulent,Guinea,Arid Tropical,,35,95.0,12,53.6,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Mealy bug,Downy mildiou,Potted plant; Primary
115,Hedera helix,Araliaceae,Hanging,Cultivar,Subtropical,English ivy; Gold Baby,30,20.0,5,41.0,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,N/A,Hanging; Ground cover
116,Maranta leuconeura erythroneura,Marantaceae,Hanging,Brazil,Tropical,Herringbone; Pink praying plant,28,82.4,12,53.6,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,N/A,Hanging; Table top
117,Hedera helix,Araliaceae,Hanging,Cultivar,Subtropical,English ivy; Hermania,30,20.0,5,41.0,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,N/A,Hanging; Ground cover
118,Monstera deliciosa,Araceae,Philodendron,Central America,Tropical,Splitleaf Philodendron; Mexican Breadfruit,32,89.6,12,53.6,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Mealy bug,N/A,Potted plant; Secondary
119,Mandevilla X,Apocynaceae,Flower,Hybrid,Tropical,,30,20.0,10,50.0,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Aphid,N/A,Flower; Potted plant
120,Peperomia obtusifolia,Piperaceae,Other,Venezuela,Tropical,Baby rubber plant; Pepper face,32,89.6,10,50.0,Bright light,/,Keep moist between watering. Water when soil is half dry.,Mealy bug,N/A,Table top; Ground cover; Tertiary
121,Ophiopogon japonicus,Liliaceae,Grass,Japan,Subtropical,Snakes beard,28,82.4,5,41.0,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Spider mite; Scale,N/A,Ground cover; Tertiary
122,Hedychium coronarium,Zingiberaceae,Flower,China,Subtropical,Butterfly Ginger; White Ginger,30,20.0,10,50.0,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,N/A,N/A,Flower; Secondary
123,Hedera helix variegata,Araliaceae,Hanging,Cultivar,Subtropical,English ivy; Variegated English ivy,30,20.0,5,41.0,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,N/A,Hanging; Ground cover
124,Pellaea falcata,Sinopteridaceae,Fern,Australia & New Guinea,Tropical,,25,77.0,12,53.6,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug,N/A,Table top; Ground cover; Tertiary
125,Hedera helix,Araliaceae,Hanging,Cultivar,Subtropical,English ivy; Garland,30,20.0,5,41.0,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,N/A,Hanging; Ground cover
126,Hoya carnosa Exotica,Asclepiadaceae,Hanging,Cultivar,Tropical,Wax plant,28,82.4,12,53.6,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Mealy bug; Thrips,N/A,Hanging; Table top
127,Nerium oleander,Apocynaceae,Flower,Mediterranean,Subtropical,Oleander; Rose bay,30,20.0,5,41.0,6 or more hours of direct sunlight per day.,/,Keep moist between watering. Must not be dry between watering,Scale; Aphid; Mealy bug,N/A,Potted plant; Secondary
128,Pachypodium geayi,Apocynaceae,Cactus And Succulent,Madagascar,Arid Tropical,Madagascar Palm,35,95.0,8,46.4,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Mealy bug,N/A,Potted plant; Primary
129,Licuala spinosa,Arecaceae,Palm,Malaysia,Tropical,Spiny licuala palm,30,20.0,15,59.0,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,N/A,Potted plant; Secondary
130,Philodendron,Araceae,Philodendron,Cultivar,Tropical,Red Philodendron; Imperial Red,28,82.4,18,64.4,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Erwinia,Table top; Secondary
131,Neoregelia Flandria,Bromeliaceae,Bromeliad,Cultivar,Tropical,,30,20.0,12,53.6,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,N/A,N/A,Table top; Colors / Forms
132,Liriope muscari Variegata,Liliaceae,Foliage plant,Japan,Subtropical,Variegated lily turf,30,20.0,8,46.4,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Spider mite; Scale,N/A,Ground cover; Table top
133,Philodendron micans,Araceae,Philodendron,Dominica,Tropical,Velvet leaf vine,28,82.4,18,64.4,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Erwinia,Hanging; Secondary
134,Maranta leuconeura kerchoveana,Marantaceae,Hanging,Brazil,Tropical,Green prayer plant; Herringbone,28,82.4,12,53.6,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,N/A,Hanging; Table top
135,Neoregelia Victoria Pink,Bromeliaceae,Bromeliad,Cultivar,Tropical,,30,20.0,12,53.6,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,N/A,N/A,Table top; Colors / Forms
136,Nolina recurvata,Agavaceae,Foliage plant,Mexico,Arid Tropical,Elephant foot; Pony tail,32,89.6,12,53.6,6 or more hours of direct sunlight per day.,Direct sunlight.,Water when soil is half dry. Can be dry between watering.,Scale; Mealy bug,N/A,Primary; Potted plant
137,Philodendron,Araceae,Philodendron,Cultivar,Tropical,Lime philodendron; Moonlight,28,82.4,18,64.4,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Erwinia,Table top; Secondary
138,Phalaenopsis X,Orchidaceae,Flower,Hybrid,Tropical humid,,28,82.4,12,53.6,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Thrips; Aphid,N/A,Table top; Secondary
139,Hyophorbe verschaffeltii,Arecaceae,Palm,Rodrigue Island,Tropical,Spindle palm,35,95.0,10,50.0,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,N/A,Potted plant; Primary
140,Hedera helix,Araliaceae,Topiairy,Cultivar,Subtropical,English ivy,30,20.0,5,41.0,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,N/A,Hanging; Ground cover
141,Nolina guatemalensis,Agavaceae,Foliage plant,Mexico,Arid Tropical,Elephant foot; Pony tail,32,89.6,12,53.6,6 or more hours of direct sunlight per day.,Direct sunlight.,Water when soil is half dry. Can be dry between watering.,Scale; Mealy bug,N/A,Primary; Potted plant
142,Medinilla magnifica,Melastomataceae,Flower,Philippines,Tropical,Rose grape,30,20.0,15,59.0,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Mealy bug,N/A,Potted plant; Flower
143,Hibiscus rosa sinensis,Malvaceae,Flower,Asia,Tropical,Chinese hibiscus,28,82.4,10,50.0,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Aphid; White fly,N/A,Flower; Secondary
144,Nephrolepis exaltata var,Nephrolepidaceae,Fern,Cultivar,Tropical,Boston fern; Sword fern,28,82.4,10,50.0,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,N/A,Hanging; Tertiary
145,Howea forsteriana,Arecaceae,Palm,South Pacific,Tropical,Kentia palm; Paradise palm,28,82.4,12,53.6,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,N/A,N/A,Potted plant; Primary
146,Philodendron,Araceae,Philodendron,Cultivar,Tropical,Emerald Prince,28,82.4,18,64.4,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Erwinia,Table top; Secondary
147,Homalomena,Araceae,Foliage plant,Cultivar,Tropical,Emerald Gem,28,82.4,10,50.0,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,N/A,Table top; Tertiary
148,Peperomia clusiifolia,Piperaceae,Other,Cultivar,Tropical,Tricolor Peperomia,32,89.6,10,50.0,Bright light,/,Keep moist between watering. Water when soil is half dry.,Mealy bug,N/A,Table top; Ground cover; Tertiary
149,Pandorea jasminoides,Bignoniaceae,Flower,Australia,Subtropical,Bower plant; Bower of beauty,28,82.4,8,46.4,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Mealy bug,N/A,Potted plant; Secondary
150,Neoregelia carolinae var.,Bromeliaceae,Bromeliad,Cultivar,Tropical,,30,20.0,12,53.6,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,N/A,N/A,Table top; Colors / Forms
151,Radermachera sinica,Bignoniaceae,Other,China,Subtropical,China doll,28,82.4,8,46.4,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Mealy bug,N/A,Table top; Tertiary
152,Pteris cretica Parkeri,Pteridaceae,Fern,Cultivar,Tropical humid,Cretan brake,28,82.4,12,53.6,Bright light,/,Keep moist between watering. Must not be dry between watering,N/A,N/A,Table top; Tertiary
153,Polystichum tsus simense,Dryopteridaceae,Fern,Korea,Subtropical,Korean rock fern; Tsu sima holly fern,28,82.4,-5,23.0,Bright light,/,Keep moist between watering. Must not be dry between watering,N/A,N/A,Table top; Tertiary
154,Polystichum polyblepharum,Dryopteridaceae,Fern,Japan,Subtropical,Japanese tassel fern,28,82.4,-5,23.0,Bright light,/,Keep moist between watering. Must not be dry between watering,N/A,N/A,Table top; Tertiary
155,Ravenea rivularis,Arecaceae,Palm,Madagascar,Tropical,Majesty palm,30,20.0,8,46.4,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug,N/A,Potted plant; Secondary
156,Polyscias scutellaria,Araliaceae,Aralia,Asia,Tropical,Fabian Aralia; Red Aralia,30,20.0,12,53.6,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,N/A,Potted plant; Primary
157,Pteris cretica Albo lineata,Pteridaceae,Fern,Cultivar,Tropical humid,Silver Ribbon Fern,28,82.4,12,53.6,Bright light,/,Keep moist between watering. Must not be dry between watering,N/A,N/A,Table top; Tertiary
158,Platycerium bifurcatum,Polypodiaceae,Fern,Australia,Tropical,Staghorn fern,30,20.0,5,41.0,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,N/A,N/A,Potted plant; Tertiary
159,Philodendron Xanadu,Araceae,Philodendron,Cultivar,Tropical,,28,82.4,18,64.4,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Erwinia,Potted plant; Secondary
160,Polyscias pinnatta,Araliaceae,Aralia,Cultivar,Tropical,Balfour aralia; Aralia Balfouriana; Lemon Lime,30,20.0,12,53.6,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,N/A,Potted plant; Primary
161,Philodendron Tatei Congo,Araceae,Philodendron,Cultivar,Tropical,,28,82.4,18,64.4,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Erwinia,Table top; Secondary
162,Sansevieria trifasciata Laurentii,Liliaceae,Sansevieria,South Africa,Tropical,Snake plant,35,95.0,10,50.0,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,N/A,N/A,Potted plant; Tertiary
163,Philodendron pinnatifidum,Araceae,Philodendron,Venezuela,Tropical,Fernleaf Philodendron,28,82.4,18,64.4,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Erwinia,Table top; Tertiary
164,Podocarpus gracilior,Podocarpaceae,Foliage plant,Central Africa,Subtropical,African fern pine; Buddhist pine,30,20.0,10,50.0,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Mealy bug; Scale,N/A,Potted plant; Primary
165,Sansevieria trifasciata Hahnii,Liliaceae,Sansevieria,Cultivar,Tropical,Birdnest sansevieria; Snake plant,35,95.0,10,50.0,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,N/A,N/A,Table top; Tertiary
166,Sansevieria trifasciata,Liliaceae,Sansevieria,South Africa,Subtropical,Snake plant,35,95.0,10,50.0,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,N/A,N/A,Potted plant; Primary
167,Polyscias crispata,Araliaceae,Aralia,Malaysia,Tropical,Chicken gizard aralia,30,20.0,12,53.6,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,N/A,Potted plant; Primary
168,Phoenix roebellinii,Palmae,Palm,Vietnam,Tropical,Pignee Date palm,28,82.4,8,46.4,6 or more hours of direct sunlight per day.,/,Keep moist between watering. Must not be dry between watering,Spider mite; Scale,N/A,Potted plant; Primary
169,Polyscias pinnata Marginata,Araliaceae,Aralia,Cultivar,Tropical,Variegated Balfour aralia; Aralia Balfouriana,30,20.0,12,53.6,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,N/A,Potted plant; Primary
170,Polyscias fruticosa Elegans,Araliaceae,Aralia,Malaysia,Tropical,Ming Aralia; Parsley panax,30,20.0,12,53.6,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,N/A,Potted plant; Primary
171,Philodendron selloum,Araceae,Philodendron,Brazil,Tropical,Lacy tree philodendron,28,82.4,18,64.4,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Erwinia,Potted plant; Secondary
172,Pteris ensiformis Evergemiensis,Pteridaceae,Fern,Asia,Tropical humid,Silver Lace Fern,28,82.4,12,53.6,Bright light,/,Keep moist between watering. Must not be dry between watering,N/A,N/A,Table top; Tertiary
173,Rhapis excelsa,Arecaceae,Palm,China,Subtropical,Lady palm,30,20.0,8,46.4,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,N/A,N/A,Potted plant; Secondary
174,Polyscias fruticosa,Araliaceae,Aralia,Malaysia,Tropical,Ming Aralia; Parsley panax,30,20.0,12,53.6,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,N/A,Potted plant; Primary
175,Philodendron scandens oxycardium,Araceae,Philodendron,Central America,Tropical,Parlor ivy; Sweetheart plant; Heartleaf philodendron; Cordatum vine,28,82.4,18,64.4,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Erwinia,Potted plant; Secondary
176,Veitchia merrillii,Arecaceae,Palm,Philippines,Tropical,Adonidia; Christmas palm; Manila palm,30,20.0,15,59.0,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug,N/A,Potted plant; Secondary
177,Spathiphyllum Lynise,Araceae,Spathiphyllum,Cultivar,Tropical,Peace lily,28,82.4,15,59.0,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Phytophtora,Potted plant; Secondary
178,Spathiphyllum Ceres,Araceae,Spathiphyllum,Cultivar,Tropical,Peace lily,28,82.4,15,59.0,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Phytophtora,Table top; Tertiary
179,Vriesea splendens,Bromeliaceae,Bromeliad,Venezuela,Tropical,,28,82.4,15,59.0,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,N/A,N/A,Table top; Tertiary
180,Trichilia dregei,Miliaceae,Other,Zimbabwe,Tropical humid,Cape mahogany; Christmas bells,28,82.4,12,53.6,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug,N/A,Potted plant; Secondary
181,Vriesea Ginger,Bromeliaceae,Bromeliad,Cultivar,Tropical,,28,82.4,15,59.0,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,N/A,N/A,Table top; Tertiary
182,Vriesea Charlotte,Bromeliaceae,Bromeliad,Cultivar,Tropical,,28,82.4,15,59.0,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,N/A,N/A,Table top; Tertiary
183,Syngonium podophyllum,Araceae,Hanging,Cultivar,Tropical humid,African evergreen; Arrowhead vine; Goosefoot plant; White Lightning,28,82.4,12,53.6,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Crown rot; Erwinia,Hanging; Tertiary
184,Syagrus schizophylla,Arecaceae,Palm,Brazil,Tropical humid,Parrot palm,30,20.0,12,53.6,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,N/A,N/A,Potted plant; Primary
185,Tillandsia cyanea,Bromeliaceae,Bromeliad,Ecuador,Tropical humid,Pink quill,30,20.0,15,59.0,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,N/A,N/A,Table top; Tertiary
186,Vriesea Christiane,Bromeliaceae,Bromeliad,Cultivar,Tropical,,28,82.4,15,59.0,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,N/A,N/A,Table top; Tertiary
187,Tillandsia Creation,Bromeliaceae,Bromeliad,Hybrid,Tropical humid,,30,20.0,15,59.0,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,N/A,N/A,Table top; Tertiary
188,Xanthosoma lindenii,Araceae,Foliage plant,Colombia,Tropical, Indian kale,28,82.4,12,53.6,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,N/A,Potted plant; Primary
189,Schefflera elegantissima,Araliaceae,Aralia,New Calidonia,Tropical,False aralia,28,82.4,12,53.6,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Can dry between watering,Spider mite; Mealy bug; Scale,N/A,Potted plant; Secondary
190,Spathiphyllum Sensation,Araceae,Spathiphyllum,Cultivar,Tropical,Peace lily,28,82.4,15,59.0,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Phytophtora,Potted plant; Primary
191,Spathiphyllum Starlight,Liliaceae,Spathiphyllum,Cultivar,Tropical,Peace lily,28,82.4,15,59.0,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Phytophtora,Table top; Tertiary
192,Sedum morganianum,Crasssulaceae,Hanging,Mexico,Arid Tropical,Burro tail,35,95.0,8,46.4,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Mealy bug,N/A,Hanging; Tertiary
193,Spathiphyllum Domino,Araceae,Spathiphyllum,Cultivar,Tropical,Peace lily,28,82.4,15,59.0,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Phytophtora,Table top; Tertiary
194,Syngonium podophyllum,Araceae,Hanging,Cultivar,Tropical humid,African evergreen; Arrowhead vine; Goosefoot plant; Pink Allusion,28,82.4,12,53.6,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Crown rot; Erwinia,Hanging; Tertiary
195,Scindapsus pictus argyraeus,Araceae,Hanging,Indonisia,Tropical,Picta Philodendron; Satin pothos; Devils ivy,30,20.0,12,53.6,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Mealy bug,N/A,Hanging; Tertiary
196,Xanthorrhoea arborea,Liliaceae,Other,Australia,Arid Tropical,Grass tree,35,95.0,12,53.6,6 or more hours of direct sunlight per day.,/,Water only when the soil is dry. Must be dry between watering,N/A,N/A,Potted plant; Primary
197,Schefflera arboricola Trinette,Araliaceae,Schefflera,Cultivar,Tropical,Yellow Hawaiian elf; Yellow parasol plant,30,20.0,12,53.6,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,N/A,Table top; Secondary
198,Schefflera actinophylla Amate,Araliaceae,Schefflera,Cultivar,Tropical,Umbella plant,28,82.4,12,53.6,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,N/A,Potted plant; Secondary
199,Schefflera actinophylla Renegade,Araliaceae,Schefflera,Cultivar,Tropical,Umbella plant,28,82.4,12,53.6,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,N/A,Potted plant; Secondary
200,Sansevieria trifasciata var,Liliaceae,Sansevieria,Cultivar,Tropical,Snake plant,35,95.0,10,50.0,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,N/A,N/A,Potted plant; Secondary
201,Spathiphyllum Supreme,Liliaceae,Spathiphyllum,Cultivar,Tropical,Peace lily,28,82.4,15,59.0,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Phytophtora,Potted plant; Secondary
202,Schefflera arboricola,Araliaceae,Schefflera,Taiwan,Tropical,Hawaiian elf; Parasol plant,30,20.0,12,53.6,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,N/A,Potted plant; Secondary
203,Spathiphyllum,Araceae,Spathiphyllum,Cultivar,Tropical,Peace lily; Emerald Swirl,28,82.4,15,59.0,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Phytophtora,Table top; Tertiary
204,Spathiphyllum Starlight,Araceae,Spathiphyllum,Cultivar,Tropical,Peace lily,28,82.4,15,59.0,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Thrips,Phytophtora,Table top; Tertiary
205,Schefflera arboricola,Araliaceae,Schefflera,Cultivar,Tropical,Hawaiian elf; Parasol plant; Gold Cappela,30,20.0,12,53.6,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,N/A,Potted plant; Secondary
206,Strelitzia nicolai,Strelitziaceae,Foliage plant,South Africa,Subtropical,White bird of paradise,30,20.0,12,53.6,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,N/A,Table top; Tertiary
207,Zamioculcas zamifolia,Araceae,Foliage plant,South Africa,Tropical,Zz plant,30,20.0,12,53.6,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,N/A,N/A,Table top; Secondary
208,Yucca elephantipes,Liliaceae,Dracaena,Mexico,Subtropical,Spineless yucca; Palm lily,30,20.0,12,53.6,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,N/A,Downy mildiou,Potted plant; Secondary
